gene_id	hgnc_symbol	condition	coverage	dataset	target	treatment
ENSG00000142676	RPL11	ARMC5.KO	35.92116095	TSS	Total Pol II	UNT
ENSG00000011007	ELOA	WT	19.98280095	TSS	Total Pol II	UNT
ENSG00000011007	ELOA	ARMC5.KO	27.74538857	TSS	Total Pol II	UNT
ENSG00000236810	ELOA-AS1	WT	22.28373381	TSS	Total Pol II	UNT
ENSG00000236810	ELOA-AS1	ARMC5.KO	34.00767143	TSS	Total Pol II	UNT
ENSG00000057757	PITHD1	WT	21.82545762	TSS	Total Pol II	UNT
ENSG00000057757	PITHD1	ARMC5.KO	33.32428619	TSS	Total Pol II	UNT
ENSG00000011009	LYPLA2	WT	15.35707	TSS	Total Pol II	UNT
ENSG00000011009	LYPLA2	ARMC5.KO	20.24059286	TSS	Total Pol II	UNT
ENSG00000117308	GALE	WT	20.42199238	TSS	Total Pol II	UNT
ENSG00000117308	GALE	ARMC5.KO	25.94373333	TSS	Total Pol II	UNT
ENSG00000179163	FUCA1	WT	9.308762143	TSS	Total Pol II	UNT
ENSG00000179163	FUCA1	ARMC5.KO	15.44448048	TSS	Total Pol II	UNT
ENSG00000188529	SRSF10	WT	8.358790952	TSS	Total Pol II	UNT
ENSG00000188529	SRSF10	ARMC5.KO	12.42516238	TSS	Total Pol II	UNT
ENSG00000232298	GRHL3-AS1	WT	8.363560952	TSS	Total Pol II	UNT
ENSG00000232298	GRHL3-AS1	ARMC5.KO	12.041848	TSS	Total Pol II	UNT
ENSG00000117602	RCAN3	WT	7.43419	TSS	Total Pol II	UNT
ENSG00000117602	RCAN3	ARMC5.KO	11.39845421	TSS	Total Pol II	UNT
ENSG00000169504	CLIC4	WT	9.2378655	TSS	Total Pol II	UNT
ENSG00000169504	CLIC4	ARMC5.KO	14.66790429	TSS	Total Pol II	UNT
ENSG00000117614	SYF2	WT	18.95645429	TSS	Total Pol II	UNT
ENSG00000117614	SYF2	ARMC5.KO	28.11193952	TSS	Total Pol II	UNT
ENSG00000117616	RSRP1	WT	14.02519571	TSS	Total Pol II	UNT
ENSG00000117616	RSRP1	ARMC5.KO	22.811672	TSS	Total Pol II	UNT
ENSG00000183726	TMEM50A	WT	14.38322905	TSS	Total Pol II	UNT
ENSG00000183726	TMEM50A	ARMC5.KO	24.0706525	TSS	Total Pol II	UNT
ENSG00000188672	RHCE	WT	13.4428019	TSS	Total Pol II	UNT
ENSG00000188672	RHCE	ARMC5.KO	19.6740025	TSS	Total Pol II	UNT
ENSG00000204178	MACO1	WT	7.957791905	TSS	Total Pol II	UNT
ENSG00000204178	MACO1	ARMC5.KO	13.23901048	TSS	Total Pol II	UNT
ENSG00000157978	LDLRAP1	WT	6.1853118	TSS	Total Pol II	UNT
