,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_Intensity_BGS,IF_Intensity_FC
161,250210_ARMC5mAC_PhosphoPolII,K08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1452,345.74997721185224,0.9454269773516722
162,250210_ARMC5mAC_PhosphoPolII,K09,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1748,338.39564127609196,0.9253171059057104
163,250210_ARMC5mAC_PhosphoPolII,K10,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1188,362.27490173807394,0.9906131247862316
164,250210_ARMC5mAC_PhosphoPolII,K11,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1474,362.1194395975771,0.9901880254043958
165,250210_ARMC5mAC_PhosphoPolII,K12,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1408,358.1872142414488,0.9794356546806458
176,250210_ARMC5mAC_PhosphoPolII,L03,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1521,371.2884980360763,1.0152601173090021
177,250210_ARMC5mAC_PhosphoPolII,L04,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2199,323.18864008584814,0.8837347194488454
178,250210_ARMC5mAC_PhosphoPolII,L05,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1643,360.58768864009653,0.985999569082679
179,250210_ARMC5mAC_PhosphoPolII,L06,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1617,344.26756743999914,0.9413734407437988
180,250210_ARMC5mAC_PhosphoPolII,L07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1958,326.01441273834575,0.8914615795316065
181,250210_ARMC5mAC_PhosphoPolII,L08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1417,354.19283438836374,0.9685133272191959
182,250210_ARMC5mAC_PhosphoPolII,L09,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1643,337.7874546922903,0.9236540660170999
183,250210_ARMC5mAC_PhosphoPolII,L10,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1175,352.02806749234213,0.9625939370295542
184,250210_ARMC5mAC_PhosphoPolII,L11,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1392,352.3412239380966,0.9634502394777434
185,250210_ARMC5mAC_PhosphoPolII,L12,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1875,340.341453839423,0.9306377821500815
198,250210_ARMC5mAC_PhosphoPolII,M05,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1811,368.5286613016672,1.0077135539719995
199,250210_ARMC5mAC_PhosphoPolII,M06,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1736,341.9747223642785,0.9351038305273215
202,250210_ARMC5mAC_PhosphoPolII,M09,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1881,357.02430989520803,0.9762557813227889
203,250210_ARMC5mAC_PhosphoPolII,M10,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1954,345.08090203041473,0.9435974422306334
216,250210_ARMC5mAC_PhosphoPolII,N03,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2954,297.0965522958127,0.8123878927879931
