,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,EXPERIMENT
108,H11,150.69138000380462,203.1879911857049,249.2464768751968,1708.1993355481727,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
109,H12,153.3609302933196,206.2772136257522,280.1376214098884,1431.7265238879736,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
110,H13,174.43682177652946,180.31943985717757,268.16610537331314,1505.1951827242524,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,480,250512_mACmChPOLR2A_Inhibitors_Chase
111,H14,156.4919937951892,178.1688020860685,250.88148380521443,1709.7922824302134,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
112,H15,158.63504421734507,176.54917018754261,265.0995617063622,1559.6688741721855,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
113,H16,163.8661414825435,230.94092910292957,270.71082056823934,1534.5735567970205,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,480,250512_mACmChPOLR2A_Inhibitors_Chase
114,H17,151.9533032833685,204.33896695820025,259.61811959578165,1707.3446132596684,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
115,H18,154.18924710358323,191.29413362533248,281.5932317533212,1526.843023255814,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
116,H19,175.8768478784291,180.83489109046874,278.54296862502434,1577.119106699752,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,480,250512_mACmChPOLR2A_Inhibitors_Chase
117,H20,157.03944357601725,179.3773848608791,259.524282542075,1690.663590604027,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
